Scenario,IAE_m_s,PeakAbsoluteError_m,MaximumLevel_m,MinimumLevel_m
Nominal,2.00000000000012,0.0837096846051741,5.08370968460517,5
Inflow disturbance,12.676941322239,0.12816737060318,5.12816737060318,4.89522364261661
Measurement noise,16.1111640645474,0.122320228413582,5.09883181466,4.96367937184479
